id,category
920705,2 Poor
920706,2 Poor
920707,2 Poor
920708,1 Good
920709,2 Poor
920710,2 Poor
920711,1 Good
920712,1 Good
920713,1 Good
920714,2 Poor
920715,1 Good
920716,1 Good
920717,2 Poor
920718,1 Good
920719,1 Good
920720,2 Poor
920721,2 Poor
920722,1 Good
920723,2 Poor
920724,2 Poor
920725,1 Good
920726,1 Good
920727,2 Poor
920728,1 Good
920729,1 Good
920730,2 Poor
920731,2 Poor
920732,1 Good
920733,1 Good
920734,1 Good
920735,1 Good
920736,1 Good
920737,1 Good
920738,1 Good
920739,1 Good
920740,1 Good
920741,1 Good
920742,1 Good
920743,1 Good
920744,1 Good
920745,1 Good
920746,1 Good
920747,2 Poor
920748,2 Poor
920749,1 Good
920750,1 Good
920751,1 Good
920752,2 Poor
920753,2 Poor
920754,1 Good
920755,1 Good
920756,1 Good
920757,1 Good
920758,1 Good
920759,1 Good
920760,1 Good
920761,2 Poor
920762,2 Poor
920763,2 Poor
920764,1 Good
920765,2 Poor
920766,1 Good
920767,1 Good
920768,1 Good
920769,2 Poor
920770,1 Good
920771,1 Good
920772,1 Good
920773,1 Good
920774,2 Poor
920775,1 Good
920776,2 Poor
920777,1 Good
920778,1 Good
920779,1 Good
920780,2 Poor
920781,1 Good
920782,2 Poor
920783,2 Poor
920784,2 Poor
920785,2 Poor
920786,2 Poor
920787,1 Good
920788,1 Good
920789,2 Poor
920790,2 Poor
920791,1 Good
920792,2 Poor
920793,2 Poor
920794,1 Good
920795,1 Good
920796,1 Good
920797,1 Good
920798,2 Poor
920799,1 Good
920800,1 Good
920801,2 Poor
920802,2 Poor
920803,1 Good
920804,1 Good
920805,2 Poor
920806,2 Poor
920807,2 Poor
920808,1 Good
920809,2 Poor
920810,2 Poor
920811,1 Good
920812,2 Poor
920813,2 Poor
920814,1 Good
920815,1 Good
920816,1 Good
920817,1 Good
920818,2 Poor
920819,1 Good
920820,1 Good
920821,1 Good
920822,2 Poor
920823,2 Poor
920824,1 Good
920825,1 Good
920826,2 Poor
920827,2 Poor
920828,1 Good
920829,1 Good
920830,2 Poor
920831,2 Poor
920832,2 Poor
920835,2 Poor
920836,1 Good
920837,2 Poor
920838,1 Good
920839,2 Poor
920840,2 Poor
920841,1 Good
920842,1 Good
920843,1 Good
920844,2 Poor
920845,1 Good
920846,2 Poor
920847,1 Good
920848,1 Good
920849,1 Good
920850,2 Poor
920851,2 Poor
920852,1 Good
920853,1 Good
920854,2 Poor
920855,1 Good
920856,1 Good
920858,2 Poor
920859,1 Good
920860,1 Good
920861,1 Good
920862,2 Poor
920863,2 Poor
920864,1 Good
920865,1 Good
920866,1 Good
920867,1 Good
920868,1 Good
920869,1 Good
920870,2 Poor
920871,1 Good
920872,2 Poor
920873,1 Good
920874,1 Good
920875,2 Poor
920876,1 Good
920877,1 Good
920878,2 Poor
920879,1 Good
920880,2 Poor
920881,1 Good
920882,2 Poor
920883,1 Good
920884,1 Good
920885,2 Poor
920886,3 Bad
920887,2 Poor
920888,2 Poor
920889,2 Poor
920890,1 Good
920891,3 Bad
920892,1 Good
920893,1 Good
920894,1 Good
920895,2 Poor
920896,1 Good
920897,2 Poor
920898,2 Poor
920901,1 Good
920902,2 Poor
920903,1 Good
920904,1 Good
920906,1 Good
920907,2 Poor
920908,2 Poor
920909,1 Good
920910,1 Good
920911,2 Poor
920912,2 Poor
920913,1 Good
920914,2 Poor
920915,1 Good
920916,2 Poor
920917,1 Good
920918,1 Good
920919,2 Poor
920920,2 Poor
920921,1 Good
920922,2 Poor
920925,1 Good
920926,2 Poor
920927,1 Good
920928,2 Poor
920929,2 Poor
920930,1 Good
920931,1 Good
920932,1 Good
920933,2 Poor
920935,1 Good
920937,1 Good
920938,1 Good
920939,2 Poor
920940,1 Good
920941,3 Bad
920942,2 Poor
920943,1 Good
920944,2 Poor
920945,1 Good
920946,1 Good
920947,1 Good
920948,1 Good
920949,1 Good
920950,2 Poor
920951,2 Poor
920952,2 Poor
920953,1 Good
920954,1 Good
920955,2 Poor
920956,1 Good
920957,1 Good
920958,2 Poor
920959,1 Good
920960,1 Good
920961,1 Good
920962,1 Good
920963,2 Poor
920964,1 Good
920965,2 Poor
920966,2 Poor
920967,2 Poor
920969,1 Good
920970,2 Poor
920971,1 Good
920972,2 Poor
920973,3 Bad
920974,1 Good
920975,1 Good
920976,2 Poor
920977,1 Good
920978,2 Poor
920979,2 Poor
920980,2 Poor
920981,2 Poor
920982,1 Good
920983,2 Poor
920985,2 Poor
920986,1 Good
920987,1 Good
920988,1 Good
920989,1 Good
920990,1 Good
920992,1 Good
920993,1 Good
920994,1 Good
920995,1 Good
920996,1 Good
920997,1 Good
920998,1 Good
920999,2 Poor
921000,1 Good
921001,1 Good
921002,1 Good
921003,2 Poor
921004,1 Good
921005,2 Poor
921006,2 Poor
921007,2 Poor
921008,2 Poor
921009,1 Good
921010,2 Poor
921011,1 Good
921012,2 Poor
921013,1 Good
921014,2 Poor
921015,2 Poor
921016,1 Good
921017,1 Good
921018,1 Good
921019,2 Poor
921020,1 Good
921021,1 Good
921023,1 Good
921026,1 Good
921027,1 Good
921028,2 Poor
921035,2 Poor
921036,1 Good
921041,1 Good
921043,2 Poor
921044,1 Good
921046,2 Poor
921048,2 Poor
921049,2 Poor
921050,2 Poor
921051,2 Poor
921052,1 Good
921053,1 Good
921054,1 Good
921055,1 Good
921056,1 Good
921057,2 Poor
921058,1 Good
921059,1 Good
921060,2 Poor
921061,1 Good
921062,2 Poor
921063,1 Good
921064,1 Good
921065,1 Good
921066,2 Poor
921067,1 Good
921068,2 Poor
921069,2 Poor
921070,1 Good
921071,2 Poor
921072,2 Poor
921073,1 Good
921074,1 Good
921075,1 Good
921076,2 Poor
921077,1 Good
921078,3 Bad
921079,1 Good
921080,1 Good
921081,3 Bad
921083,1 Good
921084,2 Poor
921085,1 Good
921086,2 Poor
921087,2 Poor
921088,2 Poor
921089,2 Poor
921090,1 Good
921091,2 Poor
921092,1 Good
921093,2 Poor
921094,1 Good
921095,2 Poor
921096,1 Good
921097,1 Good
921098,1 Good
921099,1 Good
921100,1 Good
921101,2 Poor
921102,1 Good
921103,1 Good
921104,2 Poor
921105,1 Good
921106,1 Good
921107,1 Good
921108,2 Poor
921109,1 Good
921110,1 Good
921111,2 Poor
921112,1 Good
921113,1 Good
921114,2 Poor
921115,1 Good
921116,2 Poor
921117,2 Poor
921118,2 Poor
921119,1 Good
921120,1 Good
921121,3 Bad
921122,2 Poor
921123,1 Good
921124,1 Good
921125,2 Poor
921126,1 Good
921127,2 Poor
921128,1 Good
921129,2 Poor
921130,1 Good
921131,2 Poor
921132,2 Poor
921133,2 Poor
921134,1 Good
921135,1 Good
921136,1 Good
921137,2 Poor
921138,2 Poor
921139,1 Good
921140,1 Good
921141,1 Good
921142,2 Poor
921150,1 Good
921164,2 Poor
921166,1 Good
921167,1 Good
921168,1 Good
921177,1 Good
921178,2 Poor
921179,2 Poor
921180,2 Poor
921181,2 Poor
921182,1 Good
921183,1 Good
921184,1 Good
921185,1 Good
921186,1 Good
921187,1 Good
921188,2 Poor
921197,1 Good
921202,1 Good
921204,1 Good
921237,2 Poor
921238,2 Poor
921239,1 Good
921242,2 Poor
921243,2 Poor
921244,1 Good
921245,1 Good
921246,2 Poor
921247,1 Good
921248,1 Good
921250,2 Poor
921251,1 Good
921252,1 Good
921253,2 Poor
921257,2 Poor
921258,1 Good
921261,1 Good
921262,1 Good
921263,1 Good
921264,1 Good
921265,2 Poor
921268,2 Poor
921269,1 Good
921270,2 Poor
921271,2 Poor
921272,2 Poor
921273,1 Good
921274,1 Good
921275,2 Poor
921277,1 Good
921278,2 Poor
921279,2 Poor
921283,2 Poor
921284,2 Poor
921285,2 Poor
921287,1 Good
921288,1 Good
921289,2 Poor
921290,2 Poor
921291,2 Poor
921292,1 Good
921293,1 Good
921294,2 Poor
921295,2 Poor
921296,1 Good
921297,1 Good
921298,2 Poor
921299,2 Poor
921300,1 Good
921302,3 Bad
921303,1 Good
921305,1 Good
921306,2 Poor
921307,1 Good
921308,1 Good
921309,2 Poor
921310,2 Poor
921311,1 Good
921312,2 Poor
921315,1 Good
921317,1 Good
921318,2 Poor
921319,1 Good
921321,2 Poor
921322,2 Poor
921323,1 Good
921324,1 Good
921326,2 Poor
921327,1 Good
921328,1 Good
921329,2 Poor
921330,1 Good
921331,1 Good
921332,1 Good
921333,2 Poor
921335,2 Poor
921336,1 Good
921337,2 Poor
921338,3 Bad
921339,1 Good
921340,1 Good
921342,1 Good
921343,2 Poor
921344,2 Poor
921345,2 Poor
921346,1 Good
921347,1 Good
921348,1 Good
921349,1 Good
921350,1 Good
921352,3 Bad
921355,1 Good
921356,2 Poor
921358,1 Good
921365,2 Poor
921366,3 Bad
921367,2 Poor
921368,2 Poor
921369,4 Very bad
921370,2 Poor
921371,1 Good
921372,2 Poor
921373,1 Good
921374,1 Good
921376,1 Good
921377,1 Good
921378,2 Poor
921379,1 Good
921380,1 Good
921381,3 Bad
921382,2 Poor
921383,1 Good
921384,1 Good
921385,2 Poor
921386,1 Good
921387,2 Poor
921388,2 Poor
921389,3 Bad
921390,1 Good
921391,1 Good
921392,2 Poor
921393,1 Good
921394,2 Poor
921395,1 Good
921396,1 Good
921397,1 Good
921398,1 Good
921399,2 Poor
921400,1 Good
921401,1 Good
921402,1 Good
921405,1 Good
921406,2 Poor
921407,2 Poor
921408,2 Poor
921409,2 Poor
921410,1 Good
921413,1 Good
921414,1 Good
921415,2 Poor
921416,1 Good
921417,2 Poor
921418,2 Poor
921419,2 Poor
921420,2 Poor
921421,2 Poor
921422,1 Good
921423,1 Good
921424,2 Poor
921425,1 Good
921426,2 Poor
921427,1 Good
921428,1 Good
921429,1 Good
921430,2 Poor
921432,1 Good
921433,1 Good
921434,1 Good
921435,1 Good
921436,1 Good
921437,1 Good
921438,2 Poor
921439,2 Poor
921440,2 Poor
921441,1 Good
921442,1 Good
921443,1 Good
921444,1 Good
921446,1 Good
921447,2 Poor
921448,2 Poor
921449,2 Poor
921450,1 Good
921451,1 Good
921452,3 Bad
921453,2 Poor
921454,2 Poor
921455,1 Good
921456,1 Good
921457,1 Good
921458,2 Poor
921459,1 Good
921460,1 Good
921461,1 Good
921462,1 Good
921463,1 Good
921464,3 Bad
921465,1 Good
921467,4 Very bad
921468,2 Poor
921471,2 Poor
921472,2 Poor
921473,2 Poor
921475,2 Poor
921476,1 Good
921478,1 Good
921479,2 Poor
921481,2 Poor
921482,2 Poor
921483,2 Poor
921484,1 Good
921485,2 Poor
921486,1 Good
921487,2 Poor
921488,1 Good
921489,2 Poor
921490,2 Poor
921491,1 Good
921492,1 Good
921493,1 Good
921494,2 Poor
921495,1 Good
921496,1 Good
921497,1 Good
921498,2 Poor
921500,2 Poor
921501,2 Poor
921502,2 Poor
921503,1 Good
921504,1 Good
921505,1 Good
921506,1 Good
921507,1 Good
921508,2 Poor
921510,1 Good
921511,2 Poor
921512,1 Good
921513,1 Good
921514,2 Poor
921515,1 Good
921516,1 Good
921517,2 Poor
921519,1 Good
921520,1 Good
921521,1 Good
921522,1 Good
921523,2 Poor
921524,1 Good
921525,1 Good
921526,1 Good
921527,1 Good
921528,1 Good
921529,1 Good
921535,1 Good
921536,2 Poor
921540,2 Poor
921542,1 Good
921543,2 Poor
921544,1 Good
921545,1 Good
921546,1 Good
921547,1 Good
921548,2 Poor
921551,1 Good
921552,1 Good
921553,1 Good
921559,1 Good
921560,1 Good
921561,1 Good
921562,1 Good
921563,2 Poor
921564,2 Poor
921565,1 Good
921566,1 Good
921568,2 Poor
921569,1 Good
921570,1 Good
921571,1 Good
921572,2 Poor
921573,2 Poor
921574,1 Good
921576,2 Poor
921577,2 Poor
921578,1 Good
921579,1 Good
921580,1 Good
921581,2 Poor
921582,2 Poor
921583,1 Good
921584,1 Good
921585,1 Good
921586,1 Good
921587,4 Very bad
921588,2 Poor
921589,2 Poor
921590,2 Poor
921591,2 Poor
921592,2 Poor
921593,2 Poor
921594,2 Poor
921595,2 Poor
921596,2 Poor
921598,2 Poor
921600,1 Good
921602,2 Poor
921603,2 Poor
921604,1 Good
921605,1 Good
921606,2 Poor
921607,1 Good
921608,1 Good
921609,2 Poor
921610,2 Poor
921611,1 Good
921612,1 Good
921613,1 Good
921614,2 Poor
921615,1 Good
921619,2 Poor
921620,1 Good
921621,1 Good
921622,1 Good
921623,1 Good
921624,1 Good
921625,2 Poor
921626,1 Good
921627,1 Good
921628,2 Poor
921629,1 Good
921630,2 Poor
921631,2 Poor
921632,1 Good
921633,1 Good
921634,1 Good
921635,1 Good
921636,1 Good
921637,2 Poor
921638,1 Good
921639,1 Good
921640,1 Good
921641,1 Good
921642,1 Good
921643,1 Good
921644,1 Good
921645,1 Good
921646,1 Good
921647,2 Poor
921648,2 Poor
921649,1 Good
921650,2 Poor
921651,1 Good
921652,1 Good
921653,1 Good
921654,1 Good
921655,1 Good
921656,2 Poor
921657,1 Good
921659,1 Good
921660,2 Poor
921661,1 Good
921662,1 Good
921663,2 Poor
921664,1 Good
921665,1 Good
921666,2 Poor
921667,2 Poor
921668,2 Poor
921669,1 Good
921670,1 Good
921674,1 Good
921675,1 Good
921676,2 Poor
921677,2 Poor
921678,2 Poor
921679,1 Good
921680,1 Good
921681,2 Poor
921682,2 Poor
921683,2 Poor
921685,2 Poor
921686,2 Poor
921687,2 Poor
921688,2 Poor
921689,2 Poor
921690,2 Poor
921691,1 Good
921692,1 Good
921693,1 Good
921694,1 Good
921695,2 Poor
921696,2 Poor
921699,1 Good
921700,1 Good
921701,1 Good
921702,1 Good
921703,1 Good
921704,1 Good
921705,1 Good
921706,1 Good
921707,1 Good
921710,2 Poor
921711,3 Bad
921712,2 Poor
921713,2 Poor
921714,2 Poor
921715,2 Poor
921716,2 Poor
921717,1 Good
921718,2 Poor
921719,1 Good
921720,1 Good
921721,1 Good
921722,2 Poor
921723,1 Good
921724,2 Poor
921725,1 Good
921726,1 Good
921727,2 Poor
921728,2 Poor
921729,1 Good
921730,1 Good
921731,4 Very bad
921732,3 Bad
921733,2 Poor
921735,2 Poor
921736,3 Bad
921737,1 Good
921738,2 Poor
921739,2 Poor
921740,2 Poor
921741,2 Poor
921742,1 Good
921743,2 Poor
921744,1 Good
921745,1 Good
921746,1 Good
921747,2 Poor
921748,1 Good
921749,1 Good
921750,1 Good
921751,1 Good
921752,1 Good
921753,2 Poor
921754,1 Good
921755,1 Good
921756,2 Poor
921757,2 Poor
921758,1 Good
921759,2 Poor
921760,2 Poor
921761,2 Poor
921762,2 Poor
921763,1 Good
921764,2 Poor
921765,1 Good
921766,2 Poor
921768,2 Poor
921769,1 Good
921770,2 Poor
921771,1 Good
921772,2 Poor
921773,1 Good
921774,2 Poor
921775,2 Poor
921776,1 Good
921777,2 Poor
921778,1 Good
921779,2 Poor
921780,2 Poor
921781,2 Poor
921782,1 Good
921783,2 Poor
921784,2 Poor
921786,2 Poor
921788,1 Good
921789,2 Poor
921790,1 Good
921791,2 Poor
921792,1 Good
921793,1 Good
921794,2 Poor
921795,1 Good
921796,1 Good
921797,3 Bad
921798,1 Good
921799,1 Good
921800,1 Good
921801,2 Poor
921802,2 Poor
921803,1 Good
921804,1 Good
921805,2 Poor
921806,1 Good
921807,1 Good
921808,1 Good
921809,1 Good
921810,1 Good
921811,1 Good
921812,2 Poor
921813,2 Poor
921814,1 Good
921815,2 Poor
921816,1 Good
921817,2 Poor
921818,1 Good
921819,2 Poor
921820,1 Good
921821,1 Good
921822,1 Good
921823,1 Good
921824,1 Good
921825,2 Poor
921826,1 Good
921827,1 Good
921828,1 Good
921829,1 Good
921830,1 Good
921831,1 Good
921832,1 Good
921833,1 Good
921834,2 Poor
921835,2 Poor
921836,1 Good
921837,2 Poor
921838,2 Poor
921839,2 Poor
921840,2 Poor
921841,2 Poor
921842,1 Good
921843,1 Good
921844,1 Good
921845,2 Poor
921847,1 Good
921848,3 Bad
921849,1 Good
921850,1 Good
921851,2 Poor
921852,2 Poor
921853,1 Good
921854,1 Good
921855,2 Poor
921856,1 Good
921858,2 Poor
921859,2 Poor
921860,2 Poor
921861,1 Good
921862,2 Poor
921863,1 Good
921864,1 Good
921865,1 Good
921866,2 Poor
921867,2 Poor
921868,1 Good
921869,1 Good
921870,1 Good
921871,1 Good
921872,1 Good
921873,2 Poor
921874,2 Poor
921875,2 Poor
921876,1 Good
921877,2 Poor
921878,1 Good
921879,1 Good
921880,1 Good
921881,1 Good
921882,2 Poor
921883,2 Poor
921884,3 Bad
921885,1 Good
921886,1 Good
921887,2 Poor
921888,1 Good
921889,2 Poor
921890,2 Poor
921891,1 Good
921892,1 Good
921893,2 Poor
921894,1 Good
921895,2 Poor
921896,1 Good
921897,1 Good
921898,2 Poor
921899,2 Poor
921900,2 Poor
921901,1 Good
921902,1 Good
921903,2 Poor
921904,2 Poor
921905,1 Good
921906,1 Good
921907,2 Poor
921908,1 Good
921909,1 Good
921910,1 Good
921911,1 Good
921912,1 Good
921913,2 Poor
921914,1 Good
921915,2 Poor
921916,1 Good
921917,1 Good
921918,1 Good
921919,2 Poor
921920,2 Poor
921921,1 Good
921922,1 Good
921923,1 Good
921924,1 Good
921926,2 Poor
921927,1 Good
921928,2 Poor
921929,2 Poor
921930,1 Good
921934,1 Good
921935,4 Very bad
921936,1 Good
921938,1 Good
921939,1 Good
921940,1 Good
921941,1 Good
921942,2 Poor
921943,1 Good
921944,2 Poor
921945,1 Good
921946,2 Poor
921947,1 Good
921948,1 Good
921949,2 Poor
921950,1 Good
921951,2 Poor
921952,1 Good
921954,1 Good
921956,1 Good
921957,1 Good
921958,1 Good
921959,1 Good
921960,2 Poor
921961,1 Good
921962,1 Good
921963,1 Good
921964,2 Poor
921965,3 Bad
921966,2 Poor
921967,2 Poor
921968,1 Good
921969,1 Good
921970,1 Good
921971,2 Poor
921972,1 Good
921974,2 Poor
921975,1 Good
921976,2 Poor
921977,1 Good
921978,1 Good
921979,1 Good
921981,2 Poor
921982,2 Poor
921986,1 Good
921987,2 Poor
921989,2 Poor
921992,2 Poor
921993,1 Good
921994,1 Good
921995,3 Bad
921996,1 Good
921997,2 Poor
921998,1 Good
921999,2 Poor
922000,2 Poor
922001,1 Good
922002,2 Poor
922003,1 Good
922004,2 Poor
922005,1 Good
922006,1 Good
922007,1 Good
922008,1 Good
922010,1 Good
922011,1 Good
922012,2 Poor
922013,1 Good
922014,1 Good
922015,1 Good
922016,2 Poor
922017,1 Good
922018,2 Poor
922020,1 Good
922021,2 Poor
922022,1 Good
922023,1 Good
922024,2 Poor
922025,2 Poor
922026,2 Poor
922027,1 Good
922028,1 Good
922030,1 Good
922031,1 Good
922032,1 Good
922033,1 Good
922034,2 Poor
922037,1 Good
922038,1 Good
922039,1 Good
922040,2 Poor
922043,2 Poor
922044,1 Good
922045,1 Good
922046,2 Poor
922047,3 Bad
922048,1 Good
922049,1 Good
922050,1 Good
922051,1 Good
922052,2 Poor
922053,1 Good
922054,1 Good
922055,1 Good
922056,2 Poor
922057,1 Good
922058,2 Poor
922059,1 Good
922060,1 Good
922061,1 Good
922062,3 Bad
922063,2 Poor
922064,1 Good
922065,2 Poor
922066,2 Poor
922067,2 Poor
922068,1 Good
922069,1 Good
922070,2 Poor
922071,2 Poor
922072,2 Poor
922073,1 Good
922074,2 Poor
922075,1 Good
922076,2 Poor
922077,2 Poor
922078,1 Good
922079,2 Poor
922080,1 Good
922081,1 Good
922082,1 Good
922083,1 Good
922084,1 Good
922085,2 Poor
922086,3 Bad
922087,3 Bad
922088,2 Poor
922089,2 Poor
922090,1 Good
922091,2 Poor
922092,2 Poor
922093,3 Bad
922094,1 Good
922095,1 Good
922096,3 Bad
922097,1 Good
922098,1 Good
922099,2 Poor
922100,2 Poor
922101,1 Good
922102,1 Good
922103,2 Poor
922104,2 Poor
922105,2 Poor
922106,1 Good
922107,1 Good
922108,2 Poor
922109,1 Good
922110,2 Poor
922111,2 Poor
922112,1 Good
922113,2 Poor
922114,1 Good
